id,nome,categoria,observacoes,sdf_original,sdf_novo_path
697,AKC_s00436-022-07532-5,NATURAL,,678.sdf,sdfs/697.sdf
698,AKC_acsomega.2c00467,SYNTHETIC,,679.sdf,sdfs/698.sdf
699,AKC_j.parint.2021.102458,NATURAL,,680.sdf,sdfs/699.sdf
700,AKC_j.intimp.2022.108952,DRUG,,681.sdf,sdfs/700.sdf
701,AKC_s41598-022-15449-3,SYNTHETIC,Fazer screening,682.sdf,sdfs/701.sdf
702,AKC_j.jpba.2021.114469,DRUG,,683.sdf,sdfs/702.sdf
703,AKC_books978-3-0365-3766-5,NATURAL,,684.sdf,sdfs/703.sdf
704,AKC_biomedicines10051136,SYNTHETIC,Axenica,685.sdf,sdfs/704.sdf
705,AKC_j.parint.2022.102647,SYNTHETIC,,686.sdf,sdfs/705.sdf
706,AKC_21-82,NATURAL,,687.sdf,sdfs/706.sdf
707,AKC_1568026622666220707095718,NATURAL,,688.sdf,sdfs/707.sdf
708,AKC_antibiotics11101402,SYNTHETIC,Muito bom para screening,689.sdf,sdfs/708.sdf
709,AKC_fphar.2023.1122287,SYNTHETIC,Ensaios Clínicos,690.sdf,sdfs/709.sdf
710,AKC_journal.pone.0124183,SYNTHETIC,Promissora,691.sdf,sdfs/710.sdf
711,journal.pone.0124183,SYNTHETIC,Promissora,692.sdf,sdfs/711.sdf
712,AKC_journal.pone.0124183,SYNTHETIC,Promissora,693.sdf,sdfs/712.sdf
713,AKC_nature19339,SYNTHETIC,Promissora,694.sdf,sdfs/713.sdf
714,AKC_nature19339,SYNTHETIC,Promissora,695.sdf,sdfs/714.sdf
715,AKC_nature19339,SYNTHETIC,Promissora,696.sdf,sdfs/715.sdf
716,AKC_nature19339,SYNTHETIC,Promissora,697.sdf,sdfs/716.sdf
717,AKC_acs.jmedchem.0c00499,SYNTHETIC,Ensaios Clínicos,698.sdf,sdfs/717.sdf
718,AKC_pnas.1820175116,SYNTHETIC,Ensaios Clínicos,699.sdf,sdfs/718.sdf
719,AKC_s41598-018-22063-9,SYNTHETIC,Ensaios Clínicos,700.sdf,sdfs/719.sdf
720,AKC_s41598-018-22063-9,SYNTHETIC,Ensaios Clínicos,701.sdf,sdfs/720.sdf
721,AKC_s11030-022-10548-9,SYNTHETIC,Muito bom para screening,702_1.sdf,sdfs/721.sdf
722,AKC_s11030-022-10548-9,SYNTHETIC,Muito bom para screening,702_2.sdf,sdfs/722.sdf
723,AKC_j.ejmech.2022.114878,SYNTHETIC,Muito bom para screening,703.sdf,sdfs/723.sdf
724,AKC_14786419.2022.2140336,NATURAL,OK,704.sdf,sdfs/724.sdf
725,AKC_s11686-022-00632-3,SYNTHETIC,Muito bom para screening,705.sdf,sdfs/725.sdf
